dataset,n_instances,n_features,n_binary_features,n_categorical_features,n_continuous_features,endpoint_type,n_classes,imbalance,task
1027_ESL,488,4,0,4,0,continuous,9,0.0993632,regression
1028_SWD,1000,10,1,9,0,continuous,4,0.108290667,regression
1029_LEV,1000,4,0,4,0,continuous,5,0.111245,regression
1030_ERA,1000,4,0,0,4,continuous,9,0.03125125,regression
1089_USCrime,47,13,1,0,12,continuous,42,0.002970111,regression
1096_FacultySalaries,50,4,1,0,3,continuous,39,0.004063158,regression
1191_BNG_pbc,1000000,18,6,2,10,continuous,978852,2.15E-08,regression
1193_BNG_lowbwt,31104,9,4,3,2,continuous,31056,4.95E-08,regression
1196_BNG_pharynx,1000000,10,3,6,1,continuous,984191,1.60E-08,regression
1199_BNG_echoMonths,17496,9,3,0,6,continuous,17489,2.29E-08,regression
1201_BNG_breastTumor,116640,9,4,3,2,continuous,92234,0.042496648,regression
1203_BNG_pwLinear,177147,10,1,9,0,continuous,176025,3.60E-08,regression
1595_poker,1025010,10,0,5,5,continuous,10,0.369373584,regression
192_vineyard,52,2,0,0,2,continuous,19,0.040475016,regression
195_auto_price,159,15,0,1,14,continuous,145,0.000503782,regression
197_cpu_act,8192,21,0,0,21,continuous,56,0.020572346,regression
201_pol,15000,48,0,22,26,continuous,11,0.374681553,regression
207_autoPrice,159,15,0,1,14,continuous,145,0.000503782,regression
210_cloud,108,5,1,1,3,continuous,94,0.001379117,regression
215_2dplanes,40768,10,1,9,0,continuous,40368,2.42E-07,regression
218_house_8L,22784,8,0,0,8,continuous,2045,0.019353432,regression
225_puma8NH,8192,8,0,0,8,continuous,8192,0,regression
227_cpu_small,8192,12,0,0,12,continuous,56,0.020572346,regression
228_elusage,55,2,0,0,2,continuous,52,0.000952844,regression
229_pwLinear,200,10,1,9,0,continuous,189,0.000310638,regression
230_machine_cpu,209,6,0,0,6,continuous,116,0.004905725,regression
294_satellite_image,6435,36,0,0,36,continuous,6,0.027608732,regression
344_mv,40768,10,2,1,7,continuous,39029,0.000630083,regression
4544_GeographicalOriginalofMusic,1059,117,0,0,117,continuous,1057,1.78E-06,regression
485_analcatdata_vehicle,48,4,3,1,0,continuous,47,0.000434028,regression
503_wind,6574,14,0,0,14,continuous,779,0.00064765,regression
505_tecator,240,124,0,0,124,continuous,157,0.00215122,regression
519_vinnie,380,2,0,1,1,continuous,16,0.030145891,regression
522_pm10,500,7,0,0,7,continuous,117,0.008251517,regression
523_analcatdata_neavote,100,2,0,2,0,continuous,8,0.136914286,regression
527_analcatdata_election2000,67,14,0,0,14,continuous,67,0,regression
529_pollen,3848,4,0,0,4,continuous,3784,4.25E-06,regression
537_houses,20640,8,0,0,8,continuous,3842,0.002504111,regression
542_pollution,60,15,0,0,15,continuous,60,0,regression
547_no2,500,7,0,0,7,continuous,385,0.000491875,regression
556_analcatdata_apnea2,475,3,0,2,1,continuous,178,0.272393208,regression
557_analcatdata_apnea1,475,3,0,2,1,continuous,164,0.325259691,regression
560_bodyfat,252,14,0,0,14,continuous,176,0.001127308,regression
561_cpu,209,7,0,0,7,continuous,104,0.006541468,regression
562_cpu_small,8192,12,0,0,12,continuous,56,0.020572346,regression
564_fried,40768,10,0,0,10,continuous,17396,2.19E-05,regression
573_cpu_act,8192,21,0,0,21,continuous,56,0.020572346,regression
574_house_16H,22784,16,0,0,16,continuous,2045,0.019353432,regression
579_fri_c0_250_5,250,5,0,0,5,continuous,250,0,regression
581_fri_c3_500_25,500,25,0,0,25,continuous,500,0,regression
582_fri_c1_500_25,500,25,0,0,25,continuous,500,0,regression
583_fri_c1_1000_50,1000,50,0,0,50,continuous,1000,0,regression
584_fri_c4_500_25,500,25,0,0,25,continuous,500,0,regression
586_fri_c3_1000_25,1000,25,0,0,25,continuous,1000,0,regression
588_fri_c4_1000_100,1000,100,0,0,100,continuous,1000,0,regression
589_fri_c2_1000_25,1000,25,0,0,25,continuous,1000,0,regression
590_fri_c0_1000_50,1000,50,0,0,50,continuous,1000,0,regression
591_fri_c1_100_10,100,10,0,0,10,continuous,100,0,regression
592_fri_c4_1000_25,1000,25,0,0,25,continuous,1000,0,regression
593_fri_c1_1000_10,1000,10,0,0,10,continuous,1000,0,regression
594_fri_c2_100_5,100,5,0,0,5,continuous,100,0,regression
595_fri_c0_1000_10,1000,10,0,0,10,continuous,1000,0,regression
596_fri_c2_250_5,250,5,0,0,5,continuous,250,0,regression
597_fri_c2_500_5,500,5,0,0,5,continuous,500,0,regression
598_fri_c0_1000_25,1000,25,0,0,25,continuous,1000,0,regression
599_fri_c2_1000_5,1000,5,0,0,5,continuous,1000,0,regression
601_fri_c1_250_5,250,5,0,0,5,continuous,250,0,regression
602_fri_c3_250_10,250,10,0,0,10,continuous,250,0,regression
603_fri_c0_250_50,250,50,0,0,50,continuous,250,0,regression
604_fri_c4_500_10,500,10,0,0,10,continuous,500,0,regression
605_fri_c2_250_25,250,25,0,0,25,continuous,250,0,regression
606_fri_c2_1000_10,1000,10,0,0,10,continuous,1000,0,regression
607_fri_c4_1000_50,1000,50,0,0,50,continuous,1000,0,regression
608_fri_c3_1000_10,1000,10,0,0,10,continuous,1000,0,regression
609_fri_c0_1000_5,1000,5,0,0,5,continuous,1000,0,regression
611_fri_c3_100_5,100,5,0,0,5,continuous,100,0,regression
612_fri_c1_1000_5,1000,5,0,0,5,continuous,1000,0,regression
613_fri_c3_250_5,250,5,0,0,5,continuous,250,0,regression
615_fri_c4_250_10,250,10,0,0,10,continuous,250,0,regression
616_fri_c4_500_50,500,50,0,0,50,continuous,500,0,regression
617_fri_c3_500_5,500,5,0,0,5,continuous,500,0,regression
618_fri_c3_1000_50,1000,50,0,0,50,continuous,1000,0,regression
620_fri_c1_1000_25,1000,25,0,0,25,continuous,1000,0,regression
621_fri_c0_100_10,100,10,0,0,10,continuous,100,0,regression
622_fri_c2_1000_50,1000,50,0,0,50,continuous,1000,0,regression
623_fri_c4_1000_10,1000,10,0,0,10,continuous,1000,0,regression
624_fri_c0_100_5,100,5,0,0,5,continuous,100,0,regression
626_fri_c2_500_50,500,50,0,0,50,continuous,500,0,regression
627_fri_c2_500_10,500,10,0,0,10,continuous,500,0,regression
628_fri_c3_1000_5,1000,5,0,0,5,continuous,1000,0,regression
631_fri_c1_500_5,500,5,0,0,5,continuous,500,0,regression
633_fri_c0_500_25,500,25,0,0,25,continuous,500,0,regression
634_fri_c2_100_10,100,10,0,0,10,continuous,100,0,regression
635_fri_c0_250_10,250,10,0,0,10,continuous,250,0,regression
637_fri_c1_500_50,500,50,0,0,50,continuous,500,0,regression
641_fri_c1_500_10,500,10,0,0,10,continuous,500,0,regression
643_fri_c2_500_25,500,25,0,0,25,continuous,500,0,regression
644_fri_c4_250_25,250,25,0,0,25,continuous,250,0,regression
645_fri_c3_500_50,500,50,0,0,50,continuous,500,0,regression
646_fri_c3_500_10,500,10,0,0,10,continuous,500,0,regression
647_fri_c1_250_10,250,10,0,0,10,continuous,250,0,regression
648_fri_c1_250_50,250,50,0,0,50,continuous,250,0,regression
649_fri_c0_500_5,500,5,0,0,5,continuous,500,0,regression
650_fri_c0_500_50,500,50,0,0,50,continuous,500,0,regression
651_fri_c0_100_25,100,25,0,0,25,continuous,100,0,regression
653_fri_c0_250_25,250,25,0,0,25,continuous,250,0,regression
654_fri_c0_500_10,500,10,0,0,10,continuous,500,0,regression
656_fri_c1_100_5,100,5,0,0,5,continuous,100,0,regression
657_fri_c2_250_10,250,10,0,0,10,continuous,250,0,regression
658_fri_c3_250_25,250,25,0,0,25,continuous,250,0,regression
659_sleuth_ex1714,47,7,0,0,7,continuous,47,0,regression
663_rabe_266,120,2,0,1,1,continuous,96,0.001824561,regression
665_sleuth_case2002,147,6,4,0,2,continuous,19,0.096019663,regression
666_rmftsa_ladata,508,10,0,0,10,continuous,365,0.00065658,regression
678_visualizing_environmental,111,3,0,0,3,continuous,28,0.019608197,regression
687_sleuth_ex1605,62,5,0,0,5,continuous,41,0.00646462,regression
690_visualizing_galaxy,323,4,0,0,4,continuous,208,0.001246475,regression
695_chatfield_4,235,12,0,0,12,continuous,211,0.000896419,regression
706_sleuth_case1202,93,6,1,1,4,continuous,79,0.001583109,regression
712_chscase_geyser1,222,2,0,0,2,continuous,50,0.012843511,regression
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,31,969,0,categorical,2,0,classification
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,0,20,0,categorical,2,0,classification
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,2,18,0,categorical,2,0,classification
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,0,20,0,categorical,2,0,classification
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,1,19,0,categorical,2,0,classification
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,1,19,0,categorical,2,0,classification
Hill_Valley_with_noise,1212,100,0,0,100,categorical,2,0,classification
Hill_Valley_without_noise,1212,100,0,0,100,categorical,2,9.80E-05,classification
adult,48842,14,1,4,9,categorical,2,0.271895991,classification
agaricus_lepiota,8145,22,5,16,1,categorical,2,0.001457936,classification
allbp,3772,29,19,4,6,categorical,3,0.875522843,classification
allhyper,3771,29,19,4,6,categorical,4,0.930142251,classification
allhypo,3770,29,19,4,6,categorical,3,0.783765664,classification
allrep,3772,29,19,4,6,categorical,4,0.91427448,classification
analcatdata_aids,50,4,0,2,2,categorical,2,0,classification
analcatdata_asbestos,83,3,1,1,1,categorical,2,0.011757875,classification
analcatdata_authorship,841,70,0,3,67,categorical,4,0.083396839,classification
analcatdata_bankruptcy,50,6,0,0,6,categorical,2,0,classification
analcatdata_boxing1,120,3,1,1,1,categorical,2,0.09,classification
analcatdata_boxing2,132,3,1,0,2,categorical,2,0.00573921,classification
analcatdata_creditscore,100,6,2,1,3,categorical,2,0.2116,classification
analcatdata_cyyoung8092,97,10,2,0,8,categorical,2,0.255181209,classification
analcatdata_cyyoung9302,92,10,2,1,7,categorical,2,0.344517958,classification
analcatdata_dmft,797,4,1,3,0,categorical,6,0.001342865,classification
analcatdata_fraud,42,11,10,1,0,categorical,2,0.145124717,classification
analcatdata_germangss,400,5,2,2,1,categorical,4,0,classification
analcatdata_happiness,60,3,0,2,1,categorical,3,0,classification
analcatdata_japansolvent,52,9,0,0,9,categorical,2,0.00147929,classification
analcatdata_lawsuit,264,4,1,0,3,categorical,2,0.732839761,classification
ann_thyroid,7200,21,15,0,6,categorical,3,0.790466898,classification
appendicitis,106,7,0,0,7,categorical,2,0.364542542,classification
australian,690,14,4,3,7,categorical,2,0.012131905,classification
auto,202,25,3,6,16,categorical,5,0.045375453,classification
backache,180,32,22,4,6,categorical,2,0.521604938,classification
balance_scale,625,4,0,4,0,categorical,3,0.14622976,classification
banana,5300,2,0,0,2,continuous,2,0.01069078,regression
biomed,209,8,0,1,7,categorical,2,0.079691399,classification
breast,699,10,0,8,2,categorical,2,0.096375161,classification
breast_cancer,286,9,2,6,1,categorical,2,0.164506822,classification
breast_cancer_wisconsin,569,30,0,0,30,categorical,2,0.064939878,classification
breast_w,699,9,0,8,1,categorical,2,0.096375161,classification
buggyCrx,690,15,3,5,7,categorical,2,0.012131905,classification
bupa,345,5,0,0,5,categorical,2,0.000411678,classification
calendarDOW,399,32,2,18,12,categorical,5,0.014029434,classification
car,1728,6,0,6,0,categorical,4,0.390288316,classification
car_evaluation,1728,21,21,0,0,categorical,4,0.390288316,classification
cars,392,8,0,1,7,categorical,3,0.191996824,classification
chess,3196,36,35,1,0,categorical,2,0.001974073,classification
churn,5000,20,2,2,16,categorical,2,0.51437584,classification
clean1,476,168,0,0,168,categorical,2,0.01696561,classification
clean2,6598,168,0,0,168,categorical,2,0.478483151,classification
cleve,303,13,3,5,5,categorical,2,0.007940398,classification
cleveland,303,13,3,5,5,categorical,5,0.194006034,classification
cleveland_nominal,303,7,3,4,0,categorical,5,0.194006034,classification
cloud,108,7,1,0,6,categorical,4,0.005029721,classification
cmc,1473,9,3,4,2,categorical,3,0.030700608,classification
coil2000,9822,85,5,79,1,categorical,2,0.775590276,classification
colic,368,22,1,14,7,categorical,2,0.06805293,classification
collins,485,23,0,1,22,categorical,13,0.021981082,classification
confidence,72,3,0,0,3,categorical,6,0,classification
connect_4,67557,42,0,42,0,categorical,3,0.254662552,classification
contraceptive,1473,9,3,4,2,categorical,3,0.030700608,classification
corral,160,6,6,0,0,categorical,2,0.015625,classification
credit_a,690,15,3,5,7,categorical,2,0.012131905,classification
credit_g,1000,20,3,14,3,categorical,2,0.16,classification
crx,690,15,3,5,7,categorical,2,0.012131905,classification
dermatology,366,34,1,32,1,categorical,6,0.041458389,classification
diabetes,768,8,0,0,8,categorical,2,0.09125434,classification
dis,3772,29,19,4,6,categorical,2,0.939439909,classification
dna,3186,180,180,0,0,categorical,3,0.077684798,classification
ecoli,327,7,0,0,7,categorical,5,0.108964827,classification
fars,100968,29,0,15,14,categorical,8,0.156493588,classification
flags,178,43,36,5,2,categorical,5,0.043918066,classification
flare,1066,10,4,6,0,categorical,2,0.433670434,classification
german,1000,20,3,14,3,categorical,2,0.16,classification
glass,205,9,0,0,9,categorical,5,0.106186794,classification
glass2,163,9,0,0,9,categorical,2,0.00455418,classification
haberman,306,3,0,0,3,categorical,2,0.221453287,classification
hayes_roth,160,4,0,4,0,categorical,3,0.043867188,classification
heart_c,303,13,3,5,5,categorical,2,0.007940398,classification
heart_h,294,13,2,6,5,categorical,2,0.077791661,classification
heart_statlog,270,13,3,5,5,categorical,2,0.012345679,classification
hepatitis,155,19,3,10,6,categorical,2,0.344682622,classification
horse_colic,368,22,1,14,7,categorical,2,0.06805293,classification
house_votes_84,435,16,0,16,0,categorical,2,0.051795482,classification
hungarian,294,13,2,6,5,categorical,2,0.077791661,classification
hypothyroid,3163,25,17,1,7,categorical,2,0.818158283,classification
ionosphere,351,34,1,1,32,categorical,2,0.079552926,classification
iris,150,4,0,0,4,categorical,3,0,classification
irish,500,5,1,1,3,categorical,2,0.012544,classification
kddcup,494020,41,4,9,28,categorical,23,0.382098791,classification
kr_vs_kp,3196,36,35,1,0,categorical,2,0.001974073,classification
krkopt,28056,6,0,6,0,categorical,18,0.051668767,classification
labor,57,16,0,13,3,categorical,2,0.088950446,classification
led24,3200,24,24,0,0,categorical,10,0.000188585,classification
led7,3200,7,7,0,0,categorical,10,0.000436415,classification
letter,20000,16,0,0,16,categorical,26,3.49E-05,classification
lupus,87,3,0,0,3,categorical,2,0.038182058,classification
lymphography,148,18,9,9,0,categorical,4,0.29376674,classification
magic,19020,10,0,0,10,categorical,2,0.08805479,classification
mfeat_factors,2000,216,0,0,216,categorical,10,0,classification
mfeat_fourier,2000,76,0,0,76,categorical,10,0,classification
mfeat_karhunen,2000,64,0,0,64,categorical,10,0,classification
mfeat_morphological,2000,6,0,3,3,categorical,10,0,classification
mfeat_pixel,2000,240,0,240,0,categorical,10,0,classification
mfeat_zernike,2000,47,0,0,47,categorical,10,0,classification
mnist,70000,784,19,111,654,categorical,10,0.000325415,classification
mofn_3_7_10,1324,10,10,0,0,categorical,2,0.312383056,classification
molecular_biology_promoters,106,57,0,57,0,categorical,2,0,classification
monk1,556,6,2,4,0,categorical,2,0,classification
monk2,601,6,2,4,0,categorical,2,0.098895075,classification
monk3,554,6,2,4,0,categorical,2,0.001576979,classification
movement_libras,360,90,0,0,90,categorical,15,0,classification
mushroom,8124,22,5,16,1,categorical,2,0.001291891,classification
mux6,128,6,6,0,0,categorical,2,0,classification
new_thyroid,215,5,0,0,5,categorical,3,0.299080584,classification
nursery,12958,8,1,7,0,categorical,4,0.090089937,classification
optdigits,5620,64,3,10,51,categorical,10,1.47E-05,classification
page_blocks,5473,10,0,0,10,categorical,5,0.762710429,classification
parity5,32,5,5,0,0,categorical,2,0,classification
parity5+5,1124,10,10,0,0,categorical,2,7.92E-05,classification
pendigits,10992,16,0,0,16,categorical,10,0.00017807,classification
penguins,344,7,1,2,4,categorical,3,0.04637642,classification
phoneme,5404,5,0,0,5,categorical,2,0.170591623,classification
pima,768,8,0,0,8,categorical,2,0.09125434,classification
poker,1025010,10,0,5,5,categorical,10,0.369373584,classification
postoperative_patient_data,88,8,2,6,0,categorical,2,0.20661157,classification
prnn_crabs,200,7,1,0,6,categorical,2,0,classification
prnn_fglass,205,9,0,0,9,categorical,5,0.106186794,classification
prnn_synth,250,2,0,0,2,categorical,2,0,classification
profb,672,9,1,2,6,categorical,2,0.111111111,classification
ring,7400,20,0,0,20,categorical,2,9.47E-05,classification
saheart,462,9,1,0,8,categorical,2,0.094469744,classification
satimage,6435,36,0,0,36,categorical,6,0.027608732,classification
schizo,340,14,2,0,12,categorical,3,0.147854671,classification
segmentation,2310,19,0,1,18,categorical,7,0,classification
shuttle,58000,9,0,0,9,categorical,7,0.585234083,classification
sleep,105908,13,0,1,12,categorical,5,0.148493813,classification
solar_flare_1,315,12,7,5,0,categorical,5,0.032325523,classification
solar_flare_2,1066,12,4,8,0,categorical,6,0.057334145,classification
sonar,208,60,0,0,60,categorical,2,0.004530325,classification
soybean,675,35,1,34,0,categorical,18,0.036267829,classification
spambase,4601,57,0,0,57,categorical,2,0.044906041,classification
spect,267,22,22,0,0,categorical,2,0.345761618,classification
spectf,349,44,0,0,44,categorical,2,0.207559872,classification
splice,3188,60,0,60,0,categorical,3,0.077676304,classification
tae,151,5,2,0,3,categorical,3,0.000307004,classification
texture,5500,40,0,0,40,categorical,11,0,classification
threeOf9,512,9,9,0,0,categorical,2,0.004943848,classification
tic_tac_toe,958,9,0,9,0,categorical,2,0.094181075,classification
titanic,2201,3,0,0,3,continuous,2,0.125266467,regression
tokyo1,959,44,0,2,42,categorical,2,0.077514921,classification
twonorm,7400,20,0,0,20,categorical,2,6.57E-07,classification
vehicle,846,18,0,0,18,categorical,4,0.000426612,classification
vote,435,16,0,16,0,categorical,2,0.051795482,classification
vowel,990,13,2,0,11,categorical,11,0,classification
waveform_21,5000,21,0,0,21,categorical,3,8.04E-05,classification
waveform_40,5000,40,0,0,40,categorical,3,5.79E-05,classification
wdbc,569,30,0,0,30,categorical,2,0.064939878,classification
wine_quality_red,1599,11,0,0,11,categorical,6,0.228804119,classification
wine_quality_white,4898,11,0,0,11,categorical,7,0.211974338,classification
wine_recognition,178,13,0,0,13,categorical,3,0.012529984,classification
xd6,973,9,9,0,0,categorical,2,0.114331556,classification
yeast,1479,8,0,0,8,categorical,9,0.127817847,classification